A
A.B. =(=able body) | potocznie starszy marynarz
tong counterweight | przeciwwaga klucza maszynowego, rurowego
tong dies (tong dajs) | ostrza do kluczy maszynowych
tong jaw (tong d¿o) | szczêka klucza maszynowego, rurowego
tong out (tong aut) | odstawienie klucza maszynowego
tong platforms (tong ‘pletfomz) | podesty do klucza (np. klucza do rur)
tongs (tongz) | kleszcze, szczypce
tong torque (tong tok) | moment obrotowy klucza maszynowego, rurowego 
tool (tul) | narzêdzie
       cable tools | narzêdzia zapuszczane na linie
       ( ka bi n)
       fishing tools | narzêdzia instrumentacyjne
       logging tools | geofizyczne narzêdzia pomiarowe
       setting tools | narzêdzia do posadawiania (np. zapinania pakerów, linerów itp.) 
tool-box | skrzynka narzêdziowa, /pomieszczenie na drobne narzêdzia wiertnicze/ 
tool-house | pomieszczenie (kontener) na drobny sprzêt wiertniczy i narzêdzia 
tool joint (tul il¿ojnt) | zwornik przewodu
tool kit | zestaw narzêdzi w opakowaniu (czêsto narzêdzi specjalistycznych) 
tool pusher=(=TP, toolpusher)(tulpuszer) | kierownik zmiany wiertniczej 
tooth depth | wysokoœæ zêba œwidra 
tooth wear | zu¿ycie zêbów œwidra 
top cap | daszek, górna pokrywa
top drive (top drajw) | (urz¹dzenie)gómy napêd przewodu wiertniczego
top drive drilling system | system górnego napêdu przewodu wiertniczego
top flange (top flend¿) | górna kryza
topography | topografia, krajobraz
top up (top ap) | nalaæ do pe³na
top view (top wju) | widok z góry
torch (tocz) | palnik spawalniczy, /uchwyt elektrody spawalniczej/, /latarka elektryczna/
torque (tok) | moment skrêcaj¹cy, moment obrotowy
torque gauge (tok gejd¿) | zegar momentu skrêcaj¹cego
torque wrench (tok rencz) | klucz dynanometryczny
torsion | skrêcenie, krêcenie, zwijanie
torsional force | si³a skrêcaj¹ca
torsional moment=(=torque) | moment skrêcaj¹cy


total (‘toutl)=(=whole) | ca³kowity, sumaryczny, ca³oœæ
total error (‘toutl ere) | b³¹d ca³kowity
total footage drilled | ca³kowity przerób wiertniczy
totalizer | przyrz¹d sumuj¹cy (np. iloœæ p³uczki na wszystkich zbiornikach razem) 
total load (‘toutl loud) | obci¹¿enie ca³kowite 
total loss (‘toutl los) | strata ca³kowita
Totco survey (‘lotko ‘sewi) | pomiar krzywizny otworu (przyrz¹dem Totco) 
touch the bottom | dotkn¹æ dna (wymacaæ spód otworu wiertniczego) 
tough (taf) | mocny, twardy, /odporny na obci¹¿enia dynamiczne/, /wytrzyma³y/ 
tour (tue) | czas pracy jednej zmiany (np. wiertniczej) 
tour report | raport zmianowy
tow=(=lowing, towing operation) | holowaæ, holowanie
tow boat | holownik
towel unit | zespó³ holowniczy
tow line (tou ³ajn) | hol, lina holownicza
toxic gas (‘toksyk gez) | gaz truj¹cy
toxic hazard (‘toksyk ‘hazed) | niebezpieczeñstwo zatrucia 
toxicosis | zatrucie
trace (trejs) | œlad, /kopiowaæ, œledziæ/, /wykonywaæ wg wzornika/ 
tracker | urz¹dzenie œledz¹ce (np. proces postêpu wiercenia) 
trailer (‘trejle) | naczepowiec, przyczepa, /wagon przyczepny/ 
trainee (trej’ni) | praktykant, sta¿ysta 
training | trening, szkolenie (np. za³ogi wiertniczej) 
training aids | pomoce szkoleniowe
transfer | przekazanie, przeniesienie (np. p³uczki ze zbiornika na inny zbiornik) 
transformer | transformator 
transit (‘tranzyt) | tranzyt
transit displacement | wypornoœæ tranzytowa platformy 
transit draught (‘tranzyt draft) | zanurzenie tranzytowe platformy 
translate (tran’slejt) | t³umaczyæ, przek³adaæ
transmission | przek³adnia maszynowa, napêd, /skrzynia biegów/, /transmisja/ 
transmission oil (tranz’myszn oil) | olej przek³adniowy 
transmit data (tranz’myt ‘dejta) | przekazywaæ dane (przesy³aæ) 
transmitter | nadajnik, /przenoœnik/ 
transverse (tranz’wes) | poprzeczny
trap (trep) | pu³apka, oddzielacz, ska³a magmowa wylewna, /syfon kanalizacyjny/
trash (trasz)=(=rubbish, garbage, litter, refuse) | odpadki, œmieci
travel (‘trawel) | skok, przesuniêcie, przesuw, jazda
travel a distance=(=traverse a distance) | przebyæ odleg³oœæ
travel expenses | koszty podró¿y
travelling block (trawling blok) | wielokr¹¿ek ruchomy 
travelling load (trawling loud) | obci¹¿enie ruchome 
traverse | belka poprzeczna, trawersa 
traversing | ruch poprzeczny 
treated gas | gaz oczyszczony
treatment (‘tritment) | obróbka, przygotówka, zabieg, stosowanie, traktowanie 
treble=(=thribble, thribble stand) | pas przewodu/ rur/ syfonówek 3 kawa³kowy 
tree (tri)=(=x-mass tree) (eks mas tri) | g³owica eksploatacyjna


trellis (‘trelis) | krata, okratowanie
trench (trencz) | wykopany rów, kana³ (np. pod ruroci¹gi lub kable) 
trenching | kopanie rowów 
trestle | kozio³, stojak 
trial trip-jazda próbna
trial-and-errror method | metoda prób i b³êdów 
Triassic | trias
tricone bit | œwider trójgryzowy
trip (tryp) | marsz góra/ dó³, /podró¿ morska, rejs/, /wy³¹cznik samoczynny/ 
trip gas | œlady gazu w p³uczce ze spodu otworu po zakoñczeniu marsza 
trip tank (tryp tenk) | ma³y zbiornik p³uczkowy do zat³aczania otworu 
triple | potrój ny
triplex pump (‘trajpleks pamp) | pompa p³uczkowa potrójna jednostronna
tripod | trójnóg, statyw trój no¿ny
tripper | wy³¹cznik samoczynny, wyzwalacz
trolley (troli) | wózek (np. do przeci¹gania prewenterów)
tropical rcgions=(=tropics) | tropik, obszar tropikalny (zwrotnikowy)
trouble (‘trabl) | niedomagania, zak³ócenia w pracy urz¹dzenia, problemy, k³opoty
trouble-free (‘trabl-fri) | niezawodny, niezak³ócony, bezproblemowy
troubleshooting (‘trablszuting) | wykrywanie i usuwanie usterek (awarii)
truck (trak) | samochód ciê¿arowy skrzyniowy, ciê¿arówka, /wózek/
true (tru) | prawdziwy, rzeczywisty
true vertical depth=(=TVD) (tiwidi) | rzeczywista g³êbokoœæ otworu w pionie 
truss | kratownica
try (traj) | próbowaæ, próba, staraæ siê coœ zrobiæ
try cock | kurek probierczy (zawór do pobierania próbek (np. p³ynu na manifoldzie)) 
tube clamp | œcisk-do rur
tube (tjub) | rurka cienkoœcienna, /zap³onnik/, /lampa elektron./, /tubka/, /lufa/, /dêtka/
tube vice=(=tube vise) (tjub wajs) | imad³o do rur
tubing (‘tjubing) | rurki wydobywcze, syfonówki
tubing cone=(=tubing hanger, dognut) | wieszak rurek syfonowych
tubing rabbit (‘tjubing ‘ rebyt) | szablon do rurek syfonowych
tubing spool (‘ tjubing spul) | „szpulka” pod wieszak rurek syfonowych
tuboscope (tjuboskop) | defektoskop do rur, badanie nieniszcz¹ce
tubular annulus (‘tjubjula a’naljus) | przestrzeñ miêdzyrurowa
tubular goods (‘tjubjula gudz) | sprzêt rurowy
tubulars | rury (np. p³uczkowe, ok³adzinowe i inne (ogólnie))
tuck | fa³da, zak³adka
tug boat=(=tug) | holownik
tug (tag) | ci¹gnik, /holownik/
tugger (tage)=(=winch) (³yncz) | bêben pomocniczy (np. pneumatyczny), wci¹garka
tungsten carbide | wêglik wolframu (do napawania (np. frezerów))
turbodrill | turbowiert
turbulence | burzliwoœæ, turbulencja
turbulent flow | przep³yw burzliwy (turbulentny)
turbulent sea | niespokojne morze
turn (ten) | obrót, zwrot, /zakrêt/, /kolano rurowe/, /zwój/ 
turn around | odwracaæ siê, odwróciæ siê


turn back | zawróciæ, zawracaæ
turnbuckle | nakrêtka dwustronna (rzymska), napinacz œrubowy, „rzymka” 
turn clockwizc (ten ‘kloklajz) | obróciæ zgodnie z ruchem wskazówek zegara 
turner=(=lathe hand) | tokarz
turning cffort=(=turning moment) | moment obrotowy 
turning Iathe=(=lathe) | tokarka
turn off (ten of)=(=turn out) | zakrêciæ (tip. zawór), wy³¹czyæ (np. silnik)
turn-off time (ten of tajni) | czas wy³¹czenia
turn on (ten on) | odkrêciæ (np. zawór), w³¹czyæ (np, silnik)
turn-on time (ten on tajni) | czas w³¹czenia
turn over (ten ‘ouwe) | przewracaæ, odwracaæ na drug¹ stronê
tween deck (tuin dek) | miêdzypok³ad
twist (tfyst) | krêcenie, skrêcanie, skok gwintu
U
u-bend (ju-bend) | „u | rurka”, kolano w kszta³cie litery U
ultimate load (‘altymet loud) | obci¹¿enie niszcz¹ce
ultimate pressure (‘altymet ‘presze) | ciœnienie koñcowe (ostateczne)
ultrasonic | ultradŸwiêkowy
ultrasonic test | badanie ultradŸwiêkowe
umbilical (am’ bylykl) | kabel zasilaj¹cy, kabel kontrolny, przewód sterowniczy 
unacceptable | nie do przyjêcia
imbalanced pressure | nieustalone ciœnienie, niewyrównane 
uncased | nieorurowany 
unconditional | bezwarunkowy 
unconformity | niezgodoœæ formacji geologicznych 
unconsolidated formation | pok³ad geologiczny luŸny 
undefined | nieokreœlony
underbalanced perforation | perforacja przy obni¿onym ciœnieniu w otworze 
under construction | w budowie
underga(u)ge=(=undersize) (‘ andesajz) | podwymiarowy
underga(u)ge stabilizer | stabilizator podwymiarowy
underga(u)ge well | otwór zaciœniêty
undergo a change (‘ andegou e czeñd¿) | ulegaæ zmianie
undergo repairs=(=under repair) | byæ w naprawie
undergo trials | przechodziæ próby
underground blowout | erupcja podziemna
underground (‘andegraund) | podziemny
underhung | podwieszony
under load (‘ande loud) | pod obci¹¿eniem
undermost | najni¿ej le¿¹cy, najni¿szy, /najstarsze piêtro geologiczne, system itp./ 
underneath | dolny, spodni, poni¿ej, pod spodem, na dole 
under pressure (‘ande ‘presze) | pod ciœnieniem 
under repair | w naprawie
underreamer | rymer podwymiarowy (o zmniejszonej œrednicy)
undersea (‘andesi) | podmorski
under severe conditions | w ciê¿kich warunkach
under standard conditions | w warunkach normalnych
underwater welding | spawanie podwodne


undesirable (andi’zajerebl) | niepo¿¹dany 
undetectable | niewykrywalny 
unequal (an’ikuol) | nierówny, zró¿nicowany 
uneven figure (an’iwn ‘fige) | liczba nieparzysta 
unfasten=(=unlash) | odmocowaæ, zluzowaæ 
unfinished (an’fynyszt) | niewykoñczony 
unfit | nie nadaj¹cy siê, nic pasuj¹cy 
unflawed | bezuslerkowy 
unidirectional-jednokierunkowy 
uniform (‘ junifom) | jednorodny, jednolity 
uniform load | obci¹¿enie równomierne
union (‘junjen) | po³¹czenie, dwuzl¹czka rurowa, /zwi¹zek (np. zawodowy)/ 
unit (‘junit) | jednostka, jednoœæ, zespó³, agregat, jednostka miary
BOP operating unit-jednostka sterowania prewenterami (stacja sterowania) 
coiled tubing unit | agregat (jednostka) syfonówek zwijanych (na bêbnie) 
diesel engine unit | agregat spalinowy (dieslowski)
drilling unit | ogólnie wiertnica (wiertnia l¹dowa, platforma wiertn. itd.) 
hydraulic power unit-jednostka hydrauliczna (np. do napêdu top drive’a) 
mud logging unit | laboratorium p³uczkowe, /system kontroli przep³ywu/ 
power unit | ogólnie generator mocy
        pumping unit | jednostka pompowa, ogólnie zespól pompy p³uczkowej 
well acidizing & fracturing unit | jednostka do kwasowania i szczelinowania 
well cementing unit =(=cementing unit) | cementarka 
wireline unit | ogólnie jednostka z bêbnem linowym/ drutem (pomiarowa) 
unitary | jednolity, /jednostkowy/
unitary prices | uk³ad cen (np. ropy ustalany przez OPEC) 
unit cost (‘junit kost) | koszt jednostkowy 
unit price (‘junit prajs) | cena jednostkowa 
unload (an’ loud) | roz³adowaæ, odci¹¿yæ
unlock (an’ lok) | odblokowaæ, odbezpieczyæ, /otwieraæ kluczem/
unmoor | odeumowaæ
unpack (an’pek) | rozpakowywaæ
unproductive | nieproduktywny
unproductive time | czas nieproduktywny
unreliable | zawodny, niepewny
unroll (an’ roul) | rozwijaæ, odwijaæ
unsatisfactory | niezadowalaj¹cy
unscrew (an’skru) | odkrêciæ œrubê, rozkrêciæ
unsheltered | nieos³oniêty
untight | nieszczelny, nic dokrêcony, rozkrêciæ (rozbiæ) po³¹czenie
up (ap) | podnosiæ, zwiêkszaæ, do góry
up to surface (ap tu ‘sefys) | do wierzchu
up to the standard | zgodnie z norm¹, zgodnie z wymogami
update | unowoczeœniaæ, modernizowaæ
updating | aktualizacj a
upgrade | ulepszaæ, podnosiæ jakoœæ, /wzniesienie/ 
upheaval=(=uplift) | wyniesienie,	wypiêtrzenie
uphill (‘aphyl) | pod górê


upland | wy¿yna
upper (‘ape) | górny, /piêtro geologiczne wy¿sze, m³odsze/ 
upper deck (‘ape dek) | pok³ad górny statku
upper kelly eock (‘ape ‘keli kok) | zawór kulowy miêdzy graniatk¹ a g³owic¹ p³. 
uprate (ap’rejt) | zwiêkszaæ wydajnoœæ
upright | stojak, kolumna, ustawiaæ w pozycji pionowej, pionowy, stoj¹cy 
upright fold | fa³d stoj ¹cy
upset (ap’set) | spêczony, /przewracaæ/, /dezorganizowaæ/, /martwiæ, denerwowaæ/
upstream (ap’ striiii) | pod pr¹d, przeciwpr¹dowy
up-to-date | aktualny, zaktualizowany, nowoczesny, najnowszy
uptrend | tendencja wzrostowa
upward | wznosz¹cy siê, skierowany ku górze
US gallon=(=gallon) | galon amerykañski (=3,785 1)
US yard=(=yard)-jard amerykañski (=0,914402 m) 
use (juz) | u¿ytek, zastosowanie
used oil (‘juzd ojl) | olej przepracowany, olej zu¿yty 
used (‘ juzd) | u¿ywany, zu¿yty 
useful (‘jusful) | u¿yteczny, przydatny
useless (‘jusles) | bezu¿yteczny, zbêdny, nieprzydatny, bezcelowy
utility (ju’tylyti) | u¿ytecznoœæ
utility patern=(=utility model) | wzór u¿ytkowy
utilize (‘ jutilajz) | wykorzystaæ, u¿ytkowaæ, zu¿ytkowaæ
V
vaccination (waksy’nejszn) | szczepienie ochronne
vaccination certificate (waksy’nejszn se’tyfyket) | œwiadectwo zdrowia 
vacuum (‘wakjum) | pró¿nia, podciœnienie
vacuum degasser | degazator pró¿niowy, urz¹dzenie odgazowuj¹ce
valid (‘walyd) | wa¿ny, obowi¹zuj¹cy (np. przepis)
valuation | oszacowanie wartoœci
value (‘ walju) | wartoœæ, wielkoœæ
valueless (‘waljules) | bezwartoœciowy
valve (walw) | zawór, zasuwa, /grzybek pompy p³uczkowej/
abrasion resistant valve | zawór odporny na œcieranie
air valve | zawór powietrza
angle valve=(=elbow valve) | zawór k¹towy
automatic shutoff valve | zawór zamykany automatycznie
back pressure valve | zawór zwrotny
balanced stem valve | zawór kompensacyjny (wyrównawczy) 
ball valve | zawór kulowy
bleed valve | zawór upustowy, spustowy ciœnienia
butterfly valve | zawór motylkowy (skrzyde³kowy)
by-pass valve | zawór bocznikowy, obejœciowy
casing float valve=(=F/C) | zawór p³ywakowy rur ok³adzinowych
check valve | zawór zwrotny
choke valve | zawór d³awi¹cy (na manifoldzie), przepustnica 
control valve | zawór regulacyjny 
disk valve | zawór talerzowy
diverter valve=(=selector valve) | zawór rozdzielaj¹cy


        drop-in valve | zawór zwrotny wrzutowy (do przewodu w razie erupcji)
        dump valve | zawór awaryjnego opró¿niania zbiornika
        equalizing valve | zawór wyrównawczy
        flapper valve=(=flap valve) | zawór klapowy
        gate valve | zasuwa, zawór zasuwowy
        high pressure valve | zawór wysokociœnieniowy
        high temperature valve | zawór do wysokich temperatur
        hydraulically operated valve | zawór sterowany hydraulicznie
        kingston valve=(sea-inlet valve) | zawór denny
        master valve=(=main valve) | zawór g³ówny
        needle valve | zawór iglicowy, iglicówka
        non-return valve='(=NRV) | zawór zwrotny, jednokierunkowy
        overflow valve | zawór przelewowy
        plug valve=(=cock) | zawór kurkowy, kurek
        pneumatically operated valve | zawór sterowany pneumatycznie
        pressure reducing & regulating valve | zawór redukcyjny, rcductor
        pressure release valve | zawór spustowy
        reflux valve=(=swing-type check valve) | zawór zwrotny klapkowy
        relief valve | zawór nadmiarowy
        retrievable valve | zawór wyci¹galny
        rotating valve | zawór obrotowy
        safety valve | zawór bezpieczeñstwa
shear relief valve | zawór bezpieczeñstwa otwierany przez œciêcie sztyftu 
steam valve | zawór parowy
        subsea valve | zawór do stosowania pod wod¹ (do zag³owiezeñ podmorskich) 
three way valve | zawór trój dro¿ny 
throttle valve | zawór d³awi¹cy, przepustnica 
vent valve | zawór odpowietrzaj¹cy 
valve chamber | komora zaworu 
valve housing | korpus zaworu
valve rubber | uszczelnienie zaworu pompy (guma grzybka) 
valve seat (walw sit) | gniazdo zaworu, gniazdo grzybka w pompie 
valve spring | sprê¿yna zaworu (grzybka) 
van | furgonetka
vanish (‘wenysz) | znikaæ, zanikaæ 
vaporization | parowanie, odparowywanie 
vapour=(=vapor) (‘wejpe) | opary, para 
vapour pressure | prê¿noœæ pary 
variable | zmienny (np. czynnik, parametr) 
variable gear | przek³adnia bezstopniowa 
variable load | obci¹¿enie zmienne 
variable stress | naprê¿enie zmienne 
various (‘ werios) | ró¿norodny 
v-belt=(=vee-belt) (wi belt) | pasek klinowy 
v-door (wi-do) | wrota szybowe na zeœlizg 
vehicle (‘wikl) | pojazd, /czynnik noœny, noœnik/ 
velocity (we’ losyti) | prêdkoœæ, szybkoœæ 
velocity energy | energia kinetyczna


velocity of flow (we’losyti ow flou) | prêdkoœæ przep³ywu
velocity pressure (we’losyti ‘presze) | ciœnienie dynamiczne, ciœnienie kinetyczne
vent (went) | odpowietrzaæ, odpowietrznik, otwór wentylacyjny
ventilation | przewietrzanie, wentylacja
verify | sprawdzaæ
vernier (‘wenie) | noniusz
vernier caliper=(=caliper, slide ga(u)ge) | suwmiarka (z noniuszem) 
vertical deviation | odchylenie od pionu
vertical (‘wetikl) | pionowy, pion, linia lub p³aszczyzna pionowa
Very pistol | rakietnica
very rough sea | bardzo spienione morze
very soluble | bardzo ³atwo rozpuszczalny
vessel | statek wodny, jednostka p³ywaj ¹ca, /naczynie/
vibration dampener | t³umik drgañ, amortyzator
vibration (waj’brejszn) | drganie, wibracja
view (wj u) | rzut, widok na rysunku
virgin pressure (‘wed¿in ‘presze) | ciœnienie pocz¹tkowe z³o¿owe 
viscometer | lepkoœciomierz, wiskozymetr 
viscosifier | œrodek zwiêkszaj¹cy lepkoœæ (p³uczki) 
viscosity (wis’ kosyti) | wiskoza-lepkoœæ (np. p³uczki) 
vise=(=vice) (wajs) | imad³o
visibility (wyzy’bylyti) | widocznoœæ, widzialnoœæ 
visor | os³ona przeciws³oneczna 
visual inspection | oglêdziny, kontrola wzrokowa 
vocational training | szkolenie zawodowe
void (wojd) | pusta przestrzeñ, pustka, luka, pusty, pró¿ny, wakuj¹cy
void ratio (wojd ‘rejszjo) | wskaŸnik porowatoœci
volatility | lotnoœæ, ulatnianie siê
volatilization temperature | temperatura parowania
volcanic rock | ska³a wulkaniczna, ska³a wylewna
volcanicity | wulkanizm
